question_id,question_type,sentence,relation_type,option_A,option_B,option_C,option_D,gold_option,gpt_answer,deepseek_answer,bert_answer,eval_gpt,eval_deepseek,eval_bert
Q1_开_enlarge_0130,Q1,第二节一开始，开拓者延续了良好的状态，迅速发动进攻，将领先优势扩大至17分。,metaphorical,分割,贯通，使通,扩大,启，张，把关闭的东西打开,D,D,D,C,Correct,Correct,Incorrect
Q1_开_cut_through_0115,Q1,它采用机械原理，通过转动钥匙或旋钮等工具，带动锁芯运动，从而打开锁具。,image schema,贯通，使通,扩大,分割,启，张，把关闭的东西打开,D,D,D,B,Correct,Correct,Incorrect
Q1_拿_control_0019,Q1,成语例子：他的学习成绩非常好，考大学应当是十拿九稳的事。,metaphorical,攻下，占领,拿取实物,控制、掌控,,B,C,B,D,Incorrect,Correct,Incorrect
Q1_开_open_0106,Q1,问题设定为n盏灯经k人操作后，哪些灯仍处于开启状态。,proto,启，张，把关闭的东西打开,分割,扩大,贯通，使通,A,A,A,B,Correct,Correct,Incorrect
Q1_吃_feel_0370,Q1,（感谢老哥斧正按假面骑士剧情的基础模版，每一代作品至少会出现一名“吃瘪王”。,metaphorical,感受,把东西送进口中咽下,忍受，承受,,B,C,B,A,Incorrect,Correct,Incorrect
Q1_开_enlarge_0131,Q1,如：「各航空公司竞相开辟新航线。,metaphorical,启，张，把关闭的东西打开,扩大,贯通，使通,分割,A,C,A,C,Incorrect,Correct,Incorrect
Q1_开_seperate_0144,Q1,公职人员梦见自己肚子被割开，需要受到法律的惩罚，同犯也需要受到应有的制裁。,image schema,贯通，使通,分割,启，张，把关闭的东西打开,扩大,C,B,B,D,Incorrect,Incorrect,Incorrect
Q1_吃_eat_0360,Q1,可以说有醋可吃糠，无醋肉不香。,proto,把东西送进口中咽下,感受,忍受，承受,,A,A,A,D,Correct,Correct,Incorrect
Q1_走_move_0261,Q1,很多人快要走的时候，往往想开了、放下了、解脱了，就会变得很善良，给别人帮助，给别人说一些好话。,image schema,往来，社交,行走,移动,,B,C,B,D,Incorrect,Correct,Incorrect
Q1_拿_occupy_0026,Q1,最终拿下了客户，一整年的计划，也是一个重要客户的标志。,image schema,攻下，占领,控制、掌控,拿取实物,,C,A,A,A,Incorrect,Incorrect,Incorrect
Q1_走_social_contact_0275,Q1,2、初一、十五，不走亲戚。,metaphorical,移动,往来，社交,行走,,C,A,A,D,Incorrect,Incorrect,Incorrect
Q1_拿_occupy_0027,Q1,一些可能用来描述“拿下客户”的英文表达包括：…。,image schema,控制、掌控,攻下，占领,拿取实物,,C,C,C,A,Correct,Correct,Incorrect
Q1_开_seperate_0139,Q1,书里的25个故事像25把斧头，劈开了色厉内荏、外强中干的性别枷…。,image schema,贯通，使通,分割,扩大,启，张，把关闭的东西打开,D,B,B,D,Incorrect,Incorrect,Correct
Q1_拿_take_0004,Q1,这是很多网友看到快手极速版推出的“完成365天打卡任务白拿好礼”的活动后发出的疑问。,proto,攻下，占领,控制、掌控,拿取实物,,C,C,C,D,Correct,Correct,Incorrect
Q1_走_social_contact_0277,Q1,而在年轻一代、部分中年一代看来，走亲访友，貌似没有什…。,metaphorical,移动,行走,往来，社交,,B,C,A,A,Incorrect,Incorrect,Incorrect
