word,sense,sentence
开,cut_through,它采用机械原理，通过转动钥匙或旋钮等工具，带动锁芯运动，从而打开锁具。
开,cut_through,那么，准妈咪们和新妈咪是否知道开奶、通奶、催奶的技巧?如何在哺乳后期顺利回奶?今天，小编就…。
开,cut_through,开通后支持刷手机乘坐公交、地铁、出租、轮渡、有轨电…。
开,cut_through,开通后支持刷手机乘坐公交、地铁、出租、轮渡、有轨电车，与实体卡享受…。
开,cut_through,重大项目推进情况城开高速。
开,cut_through,建设更高水平开放型经济新体制，海关…。
开,cut_through,2、单开锁是外面有个钥匙孔，室外要用钥匙…。
开,cut_through,就是一把钥匙能开启一定范围内的挂锁。
开,cut_through,开通后支持刷手机乘坐公交、地铁、出租、轮渡、有轨电车，与实体卡享受同样的乘车优惠。
开,cut_through,今天嘉美开板，我说这个事情最好不要掺和。
开,cut_through,它的类型较多，通开锁和单开锁是常见的两种，那么通开锁和单开锁的...。
开,cut_through,开渠有人工开通河道或水沟的意思，或者是开放渠道5评论分享。
开,cut_through,老黄历中“开渠”是什么意思。
开,cut_through,尺寸：136cm×28cm×2释文：未旱开渠，大事小做亦成功；临渴掘井，小事大做亦无益。
开,cut_through,根据区域划分，玉泉路石槽桥以上称人民渠，石槽桥至莲花池暗涵出口称新开渠，莲花池暗涵出…。
开,cut_through,3月7日，淮北市开渠中学举行第十三届“三八红旗手”颁奖仪式。
开,cut_through,据悉，截至目前，万开隧道已掘进突破5200米...。
开,cut_through,中国公路隧道列表是按照隧道名称，地点，长度，开通年份，孔数X车道及公路等数据所列的表格。
开,cut_through,混凝土梁上开洞必须严格遵循相关规范，从开洞位置、尺寸、补强到施工等各个环节都要谨慎对待。
开,cut_through,在楼板开洞时，应确保洞口的尺寸、位置以及周围结构的支撑和加固措施…。
开,cut_through,在墙体开洞时，必须确保洞的尺寸符合设计要求，同时位置要合理。
开,cut_through,这不是常规开洞的位置，而且实际项目中操作起来也是有局限和难…。
开,cut_through,建筑墙壁上开洞的方法-2.开洞过程中，要注意力度和速度，避免过快过猛，以免导致墙面破损。
开,cut_through,仙娘:（唱)天仙洞、地仙洞齐开了。
开,cut_through,开洞时应采用专业的开洞工具和技术，确保洞口形状、尺寸和位置符合设计要求。
开,cut_through,楼板从不开洞到开洞再到洞口越来越大，弯矩也越来越大，说明盈建科软件采用有限元计…。
开,cut_through,首先，开洞必须严格按照设计要求进行施工，…。
开,cut_through,物理名词开路是指电路中两点间无电流通过或阻抗值(或电阻值)非常大的导体连接时的电路状态。
开,cut_through,在这篇文章中，我们将详细介绍什么是开路和短路，以及在电气系统中的应用。
开,cut_through,在电学中，理解开路原理对于分析电路故障和设计电路保护机制至关重要。
开,cut_through,开路[kāilu]⒈一种朝山进香会中的杂技，舞飞叉居前列，故称为「开路」。
开,cut_through,"叶飞枫骨立，萍尽沼乔开。"
开,cut_through,中国驻圣彼得堡总领事罗占辉表示，中俄关系近年蓬勃发展，开桥仪式是两国友好关系…。
开,cut_through,这种类型的上开桥几乎都是施特劳斯及其公司设计和建造的，因而也被…。
开,cut_through,而且，窗户也不能开在屋顶，只能“前辟”。
开,cut_through,政府预计在2024年9月开地铁2号线
开,cut_through,他的父亲曾是一名开矿洞的工人
开,cut_through,是前人开了这条路，我们现在才走得平坦
开,cut_through,开隧道可不是什么容易的事！
开,cut_through,很多矿产集团用传统的爆破方式来开洞
